Name,Description,Price,Rating,StockQuantity,CategoryId
Document Scanner,"Portable scanner for documents and photos",4999,4.6,35,3
Paper Shredder,"8-sheet cross-cut shredder for home office",3499,4.4,45,3
Weighted Blanket,"15 lbs queen size blanket for anxiety relief",3999,4.9,40,2
Essential Oil Set,"Top 6 aromatherapy oils, 10ml each",899,4.8,150,2
Yoga Mat,"Extra thick, non-slip exercise mat",1299,4.7,120,2
Foam Roller,"High-density roller for muscle massage",799,4.6,180,2
Humidifier,"Cool mist ultrasonic humidifier with night light",2499,4.5,70,3
Dehumidifier,"Compact dehumidifier for small spaces and closets",3999,4.4,50,3
Electric Fan,"16-inch oscillating pedestal fan",2999,4.6,60,3
Space Heater,"Portable ceramic heater with thermostat",2199,4.7,80,3
Whiteboard,"24x36 inch magnetic dry erase board",1999,4.8,55,2
Cork Bulletin Board,"24x36 inch board with push pins",1499,4.6,75,2
Lap Desk,"Fits up to 17-inch laptops with cushion and mouse pad",1399,4.9,100,2
Bed Tray Table,"Foldable bamboo table for breakfast in bed",999,4.7,110,2
Door Mat,"Welcome mat for front door, non-slip",499,4.8,200,2
Step Stool,"Foldable single-step stool for kitchen",699,4.9,130,1
Closet Organizer,"5-shelf hanging organizer for clothes",799,4.6,150,2
Shower Caddy,"Tension pole corner shower caddy, 4-tier",1899,4.5,80,2
Cutlery Tray,"Expandable bamboo drawer organizer for utensils",899,4.8,120,1
Pot Lid Organizer,"Wall-mounted rack for pot and pan lids",599,4.7,140,1
Paper Towel Holder,"Stainless steel holder for kitchen counter",499,4.9,250,1
Sink Caddy,"Sponge and brush holder for kitchen sink",399,4.6,300,1
Electric Wine Opener,"Rechargeable corkscrew wine bottle opener",1499,4.8,90,1
Cocktail Shaker Set,"12-piece bartender kit with stand",2499,4.9,60,1
Wine Rack,"Countertop 6-bottle wine storage rack",999,4.7,80,1
Beer Growler,"64 oz double-wall insulated stainless steel growler",1799,4.8,70,1
Whiskey Decanter Set,"Globe decanter with 2 glasses and stand",2999,4.9,50,2
Smart Mug,"Temperature control mug, 10 oz",8999,4.5,20,3
Sous Vide Cooker,"Immersion circulator for precision cooking",7999,4.7,25,1
Vacuum Sealer Machine,"Food sealer for storage with starter kit",3999,4.6,50,1
Pasta Maker,"Manual noodle maker machine with attachments",2999,4.8,40,1
Waffle Maker,"Belgian waffle maker with non-stick plates",1999,4.7,70,1
Ice Maker,"Countertop ice maker machine, produces 26 lbs/day",11999,4.6,20,3
Blender,"High-speed blender for smoothies and shakes",4999,4.9,50,1
Food Processor,"10-cup food processor with chopping and shredding blades",5999,4.7,35,1
